1981,9,5,Paluweh,Lesser Sunda Is,Indonesia,Stratovolcano
1981,nan,nan,Vilyuchik,Kamchatka,Russia,Stratovolcano
1982,3,29,"Chichon, El",Mexico,Mexico,Tuff cone
1982,4,4,"Chichon, El",Mexico,Mexico,Tuff cone
1982,5,17,Galunggung,Java,Indonesia,Stratovolcano
1982,5,27,"Chichon, El",Mexico,Mexico,Tuff cone
1983,3,8,Kliuchevskoi,Kamchatka,Russia,Stratovolcano
1983,7,23,Colo [Una Una],Sulawesi-Indonesia,Indonesia,Stratovolcano
1983,8,17,Iliwerung,Lesser Sunda Is,Indonesia,Complex volcano
1983,10,3,Miyake-jima,Izu Is-Japan,Japan,Stratovolcano
1984,8,15,Oku Volc Field,Africa-W,Cameroon,Maar
1984,9,9,Mayon,Luzon-Philippines,Philippines,Stratovolcano
1984,9,14,On-take,Honshu-Japan,Japan,Complex volcano
1984,10,16,Etna,Italy,Italy,Stratovolcano
1985,5,10,Semeru,Java,Indonesia,Stratovolcano
1985,11,13,Ruiz,Colombia,Colombia,Stratovolcano
1985,12,19,Etna,Italy,Italy,Stratovolcano
1986,5,8,Akita-Yake-yama,Honshu-Japan,Japan,Complex volcano
1986,7,24,Stromboli,Italy,Italy,Stratovolcano
1986,8,21,Oku Volc Field,Africa-W,Cameroon,Maar
1986,10,15,Merapi,Java,Indonesia,Stratovolcano
1986,11,15,Oshima,Izu Is-Japan,Japan,Stratovolcano
1987,1,25,Pacaya,Guatemala,Guatemala,Complex volcano
1987,4,17,Etna,Italy,Italy,Stratovolcano
1987,12,1,Sirung,Lesser Sunda Is,Indonesia,Complex volcano
1988,5,9,Banda Api,Banda Sea,Pacific Ocean,Caldera
1988,7,6,Arenal,Costa Rica,Costa Rica,Stratovolcano
1988,7,30,Semeru,Java,Indonesia,Stratovolcano
1988,12,25,Lonquimay,Chile-C,Chile,Stratovolcano
1988,nan,nan,Akita-Yake-yama,Honshu-Japan,Japan,Complex volcano
1989,2,12,Aso,Kyushu-Japan,Japan,Caldera
1989,8,26,Kirishima,Kyushu-Japan,Japan,Shield volcano
1990,2,2,Shiveluch,Kamchatka,Russia,Stratovolcano
1990,2,10,Kelut,Java,Indonesia,Stratovolcano
1990,3,26,Aso,Kyushu-Japan,Japan,Caldera
1990,4,18,Aso,Kyushu-Japan,Japan,Caldera
1990,5,29,Sabancaya,Peru,Peru,Stratovolcano
1990,6,24,Rabaul,New Britain-SW Pac,Papua New Guinea,Pyroclastic shield
1990,7,19,Santa Maria,Guatemala,Guatemala,Stratovolcano
1990,10,19,Aso,Kyushu-Japan,Japan,Caldera
1990,11,21,Nyiragongo,Africa-C,"Congo, DRC",Stratovolcano
1990,11,25,Kelut,Java,Indonesia,Stratovolcano
1991,6,3,Unzen,Kyushu-Japan,Japan,Complex volcano
1991,6,15,Pinatubo,Luzon-Philippines,Philippines,Stratovolcano
1991,6,nan,Mutnovsky,Kamchatka,Russia,Complex volcano
1991,7,3,Karthala,Indian O-W,Comoros,Shield volcano
1991,8,8,"Hudson, Cerro",Chile-S,Chile,Stratovolcano
1991,10,24,Lokon-Empung,Sulawesi-Indonesia,Indonesia,Stratovolcano
1991,12,14,Etna,Italy,Italy,Stratovolcano
1992,1,21,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,Stratovolcano
1992,3,18,Dieng Volc Complex,Java,Indonesia,Complex volcano
1992,4,10,"Negro, Cerro",Nicaragua,Nicaragua,Cinder cone
1992,5,11,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,Stratovolcano
1992,7,5,Marapi,Sumatra,Indonesia,Complex volcano
1992,7,12,Pinatubo,Luzon-Philippines,Philippines,Stratovolcano
1992,9,17,Spurr,Alaska-SW,United States,Stratovolcano
1992,nan,nan,Semeru,Java,Indonesia,Stratovolcano
1993,1,14,Galeras,Colombia,Colombia,Complex volcano
1993,1,21,Wurlali,Banda Sea,Indonesia,Stratovolcano
1993,2,2,Mayon,Luzon-Philippines,Philippines,Stratovolcano
1993,3,12,Guagua Pichincha,Ecuador,Ecuador,Stratovolcano
1993,4,19,Kilauea,Hawaiian Is,United States,Shield volcano
1993,6,13,Krakatau,Indonesia,Indonesia,Caldera
1993,6,23,Unzen,Kyushu-Japan,Japan,Complex volcano
1993,6,26,Pinatubo,Luzon-Philippines,Philippines,Stratovolcano
1993,10,4,Pinatubo,Luzon-Philippines,Philippines,Stratovolcano
1994,1,15,Yasur,Vanuatu-SW Pacific,Vanuatu,Stratovolcano
1994,2,3,Semeru,Java,Indonesia,Stratovolcano
1994,5,29,Aso,Kyushu-Japan,Japan,Caldera
1994,6,6,Huila,Colombia,Colombia,Stratovolcano
1994,9,19,Rabaul,New Britain-SW Pac,Papua New Guinea,Pyroclastic shield
1994,11,3,Rinjani,Lesser Sunda Is,Indonesia,Stratovolcano
1994,11,22,Merapi,Java,Indonesia,Stratovolcano
1995,2,4,Yasur,Vanuatu-SW Pacific,Vanuatu,Stratovolcano
1995,2,11,Yake-dake,Honshu-Japan,Japan,Stratovolcano
1995,4,2,Fogo,Cape Verde Is,Cape Verde,Stratovolcano
1995,4,7,Pacaya,Guatemala,Guatemala,Complex volcano
1995,5,15,Kelimutu,Lesser Sunda Is,Indonesia,Complex volcano
1995,9,6,Parker,Mindanao-Philippines,Philippines,Stratovolcano
1996,1,2,Karymsky,Kamchatka,Russia,Stratovolcano
1996,4,30,Popocatepetl,Mexico,Mexico,Stratovolcano
1996,8,10,Kanlaon,Philippines-C,Philippines,Stratovolcano
1996,9,27,Maderas,Nicaragua,Nicaragua,Stratovolcano
1996,9,30,Grimsvotn,Iceland-NE,Iceland,Caldera
1996,12,3,Manam,New Guinea-NE of,Papua New Guinea,Stratovolcano
1997,1,14,Merapi,Java,Indonesia,Stratovolcano
1997,4,17,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,Stratovolcano
1997,6,25,Soufriere Hills,W Indies,Montserrat,Stratovolcano
1997,7,12,Hakkoda Group,Honshu-Japan,Japan,Stratovolcano
1997,8,1,Soufriere Hills,W Indies,Montserrat,Stratovolcano
1997,9,2,Semeru,Java,Indonesia,Stratovolcano
1997,9,15,Adatara,Honshu-Japan,Japan,Stratovolcano
1997,11,23,Aso,Kyushu-Japan,Japan,Caldera
1997,12,26,Soufriere Hills,W Indies,Montserrat,Stratovolcano
1998,4,28,Kilauea,Hawaiian Is,United States,Shield volcano
1998,7,nan,Kelut,Java,Indonesia,Stratovolcano
1998,10,30,San Cristobal,Nicaragua,Nicaragua,Stratovolcano
1999,1,20,Soufriere Hills,W Indies,Montserrat,Stratovolcano
1999,5,21,Fuego,Guatemala,Guatemala,Stratovolcano
1999,8,15,Shiveluch,Kamchatka,Russia,Stratovolcano
1999,10,5,Guagua Pichincha,Ecuador,Ecuador,Stratovolcano
1999,10,16,Tungurahua,Ecuador,Ecuador,Stratovolcano
2000,6,27,Miyake-jima,Izu Is-Japan,Japan,Stratovolcano
2000,7,27,Semeru,Java,Indonesia,Stratovolcano
2000,8,23,Arenal,Costa Rica,Costa Rica,Stratovolcano
2000,11,3,Kilauea,Hawaiian Is,United States,Shield volcano
2000,11,nan,Merapi,Java,Indonesia,Stratovolcano
2001,5,14,Etna,Italy,Italy,Stratovolcano
2001,7,26,Etna,Italy,Italy,Stratovolcano
2001,8,5,Merapi,Java,Indonesia,Stratovolcano
2001,10,20,Stromboli,Italy,Italy,Stratovolcano
2002,1,3,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,Stratovolcano
2002,1,17,Nyiragongo,Africa-C,"Congo, DRC",Stratovolcano
2002,8,28,Etna,Italy,Italy,Stratovolcano
2002,11,3,Reventador,Ecuador,Ecuador,Stratovolcano
2002,12,30,Stromboli,Italy,Italy,Stratovolcano
2002,nan,nan,Semeru,Java,Indonesia,Stratovolcano
2003,7,12,Soufriere Hills,W Indies,Montserrat,Stratovolcano
2004,1,29,Egon,Lesser Sunda Is,Indonesia,Stratovolcano
2004,6,8,Tengger Caldera,Java,Indonesia,Stratovolcano
2004,10,24,Manam,New Guinea-NE of,Papua New Guinea,Stratovolcano
2005,1,27,Manam,New Guinea-NE of,Papua New Guinea,Stratovolcano
2005,10,1,Santa Ana,El Salvador,El Salvador,Stratovolcano
2005,11,24,Karthala,Indian O-W,Comoros,Shield volcano
2006,3,17,Raoul Island,Kermadec Is,New Zealand,Stratovolcano
2006,5,20,Soufriere Hills,W Indies,Montserrat,Stratovolcano
2006,6,7,Bulusan,Luzon-Philippines,Philippines,Stratovolcano
2006,6,14,Merapi,Java,Indonesia,Stratovolcano
2006,7,18,Tungurahua,Ecuador,Ecuador,Stratovolcano
2006,8,17,Tungurahua,Ecuador,Ecuador,Stratovolcano
2006,11,30,Mayon,Luzon-Philippines,Philippines,Stratovolcano
2007,3,nan,Manam,New Guinea-NE of,Papua New Guinea,Stratovolcano
2007,4,18,Huila,Colombia,Colombia,Stratovolcano
2007,7,7,Salak,Java,Indonesia,Stratovolcano
2007,9,30,"Tair, Jebel at",Red Sea,Yemen,Stratovolcano
2008,5,2,Chaiten,Chile-S,Chile,Caldera
2008,8,8,Kasatochi,Aleutian Is,United States,Stratovolcano
2008,8,22,Tungurahua,Ecuador,Ecuador,Stratovolcano
2008,11,20,Huila,Colombia,Colombia,Stratovolcano
2009,3,23,Redoubt,Alaska-SW,United States,Stratovolcano
2009,11,30,Kilauea,Hawaiian Is,United States,Shield volcano
2010,1,nan,Tungurahua,Ecuador,Ecuador,Stratovolcano
2010,3,31,Eyjafjallajokull,Iceland-S,Iceland,Stratovolcano
2010,5,27,Pacaya,Guatemala,Guatemala,Complex volcano
2010,5,29,Sarigan,Mariana Is-C Pacific,United States,Stratovolcano
2010,8,6,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,Stratovolcano
2010,8,30,Sinabung,Sumatra,Indonesia,Stratovolcano
2010,10,26,Merapi,Java,Indonesia,Stratovolcano
2010,11,nan,Tungurahua,Ecuador,Ecuador,Stratovolcano
2010,12,28,Tengger Caldera,Java,Indonesia,Stratovolcano
2011,1,3,Merapi,Java,Indonesia,Stratovolcano
2011,1,28,Kirishima,Kyushu-Japan,Japan,Shield volcano
2011,2,23,Bulusan,Luzon-Philippines,Philippines,Stratovolcano
2011,3,18,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,Stratovolcano
2011,4,nan,Tungurahua,Ecuador,Ecuador,Stratovolcano
2011,6,4,Puyehue,Chile-C,Chile,Stratovolcano
